ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Directors,Runtime,Rotten_Tomatoes_Rounded,IMDB_Rounded,AgeRestriction,Genres_Fantasy,Genres_Sci-Fi,Genres_Mystery,Genres_Family,Genres_Adventure,Genres_Crime,Genres_Horror,Genres_Romance,Genres_Documentary,Genres_Action,Genres_Thriller,Genres_Comedy,Genres_Drama,Genres_Others,Continent_Africa,Continent_Antarctica,Continent_Asia,Continent_Europe,Continent_North America,Continent_Oceania,Continent_South America,Continent_NA,Language_NA,Language_Hindi,Language_French,Language_Spanish,Language_English,Language_Others,Era
6462,Zakir Khan : Haq Se Single,2017,NA,8.6,NA,0,0,1,0,0,Angshuman Ghosh,90.0,NA,Really_Good,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Latest
6463,Trial by Fire,2019,18+,6.8,83%,0,0,1,0,0,Edward Zwick,127.0,Good,Good,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6464,The Calling,2014,18+,5.8,51%,0,0,1,0,0,Jason Stone,108.0,Bad,Average,Adult,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,Latest
6465,Dust in the Wind,1986,NA,7.7,NA,0,0,1,0,0,Hsiao-Hsien Hou,109.0,NA,Good,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Golden
6466,The Song of Sway Lake,2019,18+,6.0,42%,0,0,1,0,0,Ari Gold,94.0,Bad,Average,Adult,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6467,Sebastian Maniscalco: Aren't You Embarrassed?,2014,18+,7.8,NA,0,0,1,0,0,John Asher,63.0,NA,Good,Adult,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6468,Daughter of Mine,2018,NA,6.1,84%,0,0,1,0,0,Laura Bispuri,97.0,Good,Average,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Latest
6469,Doomsdays,2013,NA,6.7,88%,0,0,1,0,0,Eddie Mullins,91.0,Really_Good,Good,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Latest
6470,The Incredible Hulk Returns,1988,NA,5.8,50%,0,0,1,0,0,"Nicholas Corea,Bill Bixby",100.0,Bad,Average,NA,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Golden
6471,"How Much Does Your Building Weigh, Mr Foster?",2010,NA,7.1,57%,0,0,1,0,0,"Carlos Carcas,Norberto López Amado",78.0,Average,Good,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,Modern
